nd,nf,la,ld,ndev,nuc,contains_bug
3,7,24,36,3,4,FALSE
1,1,3,0,2,1,FALSE
1,1,6,1,2,1,FALSE
1,1,0,2,2,1,FALSE
3,3,10,5,3,2,FALSE
2,2,126,60,4,2,FALSE
1,1,40,35,3,1,TRUE
1,1,1,1,2,1,FALSE
8,8,20,16,2,2,FALSE
1,1,1,1,6,1,FALSE
1,1,19,1,1,1,FALSE
8,10,90,29,6,7,FALSE
9,10,48,20,2,10,FALSE
11,13,32,56,2,5,FALSE
3,3,14,10,2,3,FALSE
9,12,50,28,2,9,FALSE
6,6,19,10,2,5,FALSE
4,4,156,47,1,4,TRUE
5,8,149,23,2,4,FALSE
6,6,95,23,2,4,FALSE
1,1,2,0,1,1,FALSE
1,1,36,30,1,1,FALSE
1,1,6,0,1,1,FALSE
5,5,42,6,1,3,FALSE
9,14,218,67,1,6,FALSE
8,8,135,59,1,4,FALSE
2,2,29,44,1,2,FALSE
2,2,4,2,1,2,FALSE
16,25,78,66,1,5,TRUE
29,43,524,277,1,6,TRUE
30,47,421,152,1,6,TRUE
17,22,301,65,1,6,TRUE
54,99,808,628,1,6,TRUE
23,51,333,956,1,4,TRUE
2,3,9,7,1,2,FALSE
5,5,27,13,4,4,FALSE
1,1,4,29,4,1,FALSE
5,5,30,30,1,1,FALSE
3,3,38,3,4,3,TRUE
6,6,105,47,3,5,FALSE
8,11,90,23,5,9,TRUE
1,1,6,1,1,1,FALSE
16,21,73,134,4,10,FALSE
2,2,7,7,3,2,TRUE
1,3,3,3,1,1,FALSE
3,3,5,23,4,2,FALSE
6,9,136,49,2,7,TRUE
3,3,17,5,4,2,TRUE
1,1,6,5,3,1,FALSE
28,128,1659,2374,4,45,FALSE
1,1,7,7,2,1,TRUE
5,6,14,6,5,3,FALSE
2,2,5,2,4,2,FALSE
1,1,1,1,4,1,FALSE
4,5,6,5,4,4,TRUE
2,2,2,2,1,2,FALSE
0,0,0,0,0,0,FALSE
2,2,2,2,4,2,FALSE
3,4,25,8,4,4,FALSE
6,6,28,27,1,3,FALSE
1,1,2,0,1,1,FALSE
1,1,22,22,1,1,FALSE
1,1,45,45,1,1,FALSE
2,3,12,6,4,2,FALSE
3,3,13,199,4,2,TRUE
4,4,6,43,2,4,FALSE
1,1,5,2,1,1,FALSE
2,2,4,5,4,2,TRUE
6,6,21,17,4,1,FALSE
1,1,2,2,4,1,FALSE
2,2,10,2,4,1,FALSE
2,2,23,14,3,2,FALSE
1,1,3,2,1,1,FALSE
3,5,23,8,1,2,FALSE
1,1,4,1,1,1,FALSE
6,10,87,33,4,4,TRUE
2,2,2,1,4,2,FALSE
8,12,181,71,4,5,FALSE
1,1,1,1,4,1,FALSE
1,1,25,10,4,1,FALSE
3,3,4,4,3,3,FALSE
1,1,1,1,1,1,FALSE
1,1,16,7,3,1,FALSE
1,1,12,3,3,1,FALSE
1,1,20,8,2,1,FALSE
3,4,14,6,1,3,FALSE
2,2,13,0,4,1,FALSE
4,5,14,37,4,3,FALSE
10,10,192,142,4,4,TRUE
1,2,28,14,3,2,FALSE
1,1,1,1,4,1,FALSE
3,3,69,3,4,3,FALSE
1,1,5,1,4,1,FALSE
2,2,3,3,4,1,FALSE
13,53,720,883,4,12,TRUE
1,1,4,4,1,1,FALSE
2,2,5,2,3,2,FALSE
2,2,4,4,3,1,FALSE
2,2,4,4,3,1,TRUE
2,2,19,0,3,2,FALSE
3,3,18,10,3,2,FALSE
1,1,1,1,1,1,FALSE
4,4,59,23,4,4,FALSE
1,1,11,1,3,1,FALSE
1,1,2,2,3,1,TRUE
3,4,75,8,4,4,TRUE
3,3,3,1,4,3,FALSE
1,1,2,12,4,1,FALSE
3,3,35,21,4,3,FALSE
3,3,182,132,4,3,TRUE
2,4,15,48,4,2,FALSE
1,1,1,0,4,1,FALSE
1,1,6,0,3,1,FALSE
5,5,41,42,3,2,FALSE
4,4,12,7,3,1,FALSE
11,16,341,186,3,8,TRUE
1,1,5,3,3,1,FALSE
1,1,1,0,3,1,FALSE
1,1,3,3,2,1,FALSE
1,1,9,11,3,1,FALSE
2,2,45,46,3,2,FALSE
1,1,1,1,2,1,FALSE
2,2,38,33,3,2,TRUE
1,1,1,1,2,1,TRUE
1,1,18,11,2,1,TRUE
3,3,72,39,3,3,TRUE
2,2,6,1,3,2,FALSE
3,3,79,42,3,2,FALSE
1,2,0,345,2,2,FALSE
1,3,5,188,2,1,FALSE
3,3,21,10,3,1,TRUE
1,1,7,0,3,1,FALSE
10,17,19,17,3,14,FALSE
5,6,54,10,3,5,FALSE
1,1,3,2,3,1,FALSE
1,1,1,1,3,1,FALSE
1,1,1,1,2,1,FALSE
1,1,3,1,1,1,FALSE
4,4,23,18,2,3,TRUE
1,1,4,0,1,1,TRUE
2,32,2113,5,3,3,FALSE
1,1,3,1,2,1,TRUE
6,11,276,173,3,6,TRUE
2,2,13,5,3,2,FALSE
1,1,2,1,3,1,FALSE
2,2,7,7,3,2,FALSE
7,8,18,0,3,5,TRUE
1,1,1,1,3,1,FALSE
9,10,188,56,3,4,TRUE
1,1,3,2,2,1,FALSE
16,29,763,347,3,10,TRUE
7,9,148,69,3,6,TRUE
14,26,142,96,3,6,TRUE
1,1,0,290,3,1,FALSE
1,1,2,2,3,1,FALSE
2,3,135,202,3,2,FALSE
29,78,2359,1039,3,11,TRUE
5,10,322,247,3,7,TRUE
1,1,1,1,1,1,FALSE
2,5,61,14,3,3,FALSE
6,11,92,93,3,4,TRUE
1,1,9,7,1,1,TRUE
1,1,1,1,1,1,FALSE
1,1,4,5,1,1,TRUE
1,1,1,1,3,1,FALSE
4,5,51,19,3,4,TRUE
1,1,17,2,2,1,FALSE
1,1,1,1,3,1,FALSE
1,1,1,1,3,1,FALSE
1,1,2,0,3,1,FALSE
1,2,34,24,2,1,FALSE
1,2,32,21,2,1,FALSE
1,1,3,1,2,1,FALSE
1,1,5,1,3,1,FALSE
6,7,111,52,3,5,FALSE
2,2,3,0,1,2,TRUE
2,2,15,3,3,2,FALSE
1,1,3,1,3,1,FALSE
1,1,10,1,2,1,FALSE
3,4,21,18,3,4,FALSE
1,1,25,20,2,1,FALSE
1,1,20,5,3,1,FALSE
1,1,6,2,3,1,FALSE
1,2,21,2,2,1,FALSE
3,4,39,5,2,3,FALSE
1,2,47,17,2,2,FALSE
2,2,2,16,3,1,FALSE
1,1,1,8,2,1,FALSE
6,7,84,9,2,5,FALSE
1,1,2,1,3,1,FALSE
3,3,6,3,3,2,FALSE
1,1,1,1,2,1,FALSE
2,2,4,3,3,2,FALSE
1,1,11,0,2,1,FALSE
1,1,8,2,2,1,FALSE
1,1,3,0,3,1,FALSE
1,1,1,1,2,1,FALSE
1,1,3,3,3,1,FALSE
3,3,6,3,3,2,FALSE
1,1,1,0,1,1,FALSE
3,3,174,2,2,2,FALSE
3,3,174,2,2,1,FALSE
2,2,5,2,2,1,FALSE
12,12,22,14,3,3,FALSE
1,1,1,1,4,1,FALSE
1,1,1,1,4,1,FALSE
1,1,1,1,4,1,FALSE
1,1,44,25,3,1,FALSE
1,1,1,1,3,1,FALSE
1,1,4,0,3,1,TRUE
1,1,1,0,3,1,FALSE
1,1,19,17,3,1,TRUE
1,1,4,4,3,1,TRUE
1,1,8,1,3,1,TRUE
2,2,11,0,2,2,FALSE
1,1,5,5,3,1,FALSE
1,1,6,6,2,1,FALSE
2,3,18,7,3,3,FALSE
2,2,12,0,2,2,FALSE
1,1,3,3,3,1,FALSE
6,6,12,12,2,1,FALSE
1,1,1,1,3,1,FALSE
10,11,23,24,3,4,FALSE
24,25,1139,1079,2,6,FALSE
14,20,162,131,3,12,FALSE
1,1,3,3,1,1,FALSE
1,1,49,49,2,1,FALSE
1,1,3,3,2,1,FALSE
1,1,6,6,3,1,FALSE
1,1,111,111,2,1,FALSE
1,1,23,16,2,1,TRUE
1,1,2,2,2,1,FALSE
1,1,2,2,2,1,FALSE
7,7,28,14,2,2,FALSE
1,1,2,2,6,1,FALSE
1,1,4,0,2,1,FALSE
10,10,10,9,2,3,FALSE
1,1,2,1,2,1,FALSE
1,1,11,0,2,1,FALSE
1,1,5,4,2,1,FALSE
3,3,45,6,2,3,FALSE
1,1,6,0,2,1,FALSE
4,5,145,5,2,4,FALSE
3,3,36,3,2,2,FALSE
1,1,18,0,0,0,FALSE
2,2,28,16,2,2,FALSE
5,5,29,4,2,4,FALSE
2,2,34,5,2,1,FALSE
5,5,44,10,2,2,FALSE
2,3,31,3,2,2,FALSE
2,2,5,2,2,2,FALSE
18,32,1144,161,2,15,FALSE
1,1,7,3,2,1,FALSE
4,4,121,75,2,4,FALSE
1,1,1,1,2,1,FALSE
9,11,247,22,2,6,FALSE
1,3,74,63,2,2,FALSE
2,2,84,0,2,2,FALSE
3,4,63,17,2,4,FALSE
1,1,2,2,6,1,FALSE
6,7,156,18,2,5,FALSE
3,3,25,4,2,3,FALSE
1,1,12,4,2,1,FALSE
5,6,84,7,2,6,FALSE
3,5,34,5,2,5,FALSE
13,14,28,21,2,6,FALSE
7,7,109,13,6,2,FALSE
1,1,1,1,6,1,FALSE
3,6,48,8,2,5,FALSE
1,1,1,1,2,1,FALSE
3,4,8,8,2,2,FALSE
16,17,626,84,2,13,FALSE
1,1,1,1,1,1,FALSE
1,1,1,1,2,1,FALSE
1,1,4,8,2,1,FALSE
11,13,111,44,2,9,FALSE
1,1,27,0,1,1,FALSE
2,3,21,8,2,2,FALSE
3,3,39,10,2,3,FALSE
2,2,53,12,1,2,FALSE
3,3,92,63,2,3,FALSE
10,18,808,70,2,11,FALSE
2,2,22,5,2,2,FALSE
4,4,36,36,2,4,FALSE
9,10,12,11,2,3,FALSE
18,18,220,224,2,8,FALSE
4,6,80,145,2,4,TRUE
6,7,52,24,2,4,FALSE
15,28,1227,107,2,13,FALSE
2,3,3,3,6,3,FALSE
1,1,3,3,5,1,FALSE
1,1,1,1,2,1,FALSE
1,1,12,0,2,1,FALSE
4,4,8,11,2,4,FALSE
1,1,1,1,2,1,FALSE
6,6,83,65,2,1,FALSE
1,1,71,32,1,1,FALSE
1,1,2,2,2,1,FALSE
5,5,60,18,2,4,FALSE
5,5,94,5,2,4,FALSE
3,3,36,12,2,3,FALSE
1,1,1,1,2,1,FALSE
2,2,10,6,2,2,FALSE
2,2,10,8,2,2,FALSE
2,2,11,0,2,2,FALSE
1,2,7,4,2,2,FALSE
12,12,35,11,2,6,FALSE
1,1,38,38,2,1,TRUE
4,6,43,16,2,5,FALSE
9,10,53,19,2,3,FALSE
2,5,16,0,2,2,FALSE
1,1,22,6,2,1,FALSE
2,2,8,17,2,2,FALSE
2,2,4,4,2,1,FALSE
1,1,17,16,2,1,FALSE
14,14,40,40,2,5,FALSE
4,4,139,11,2,3,TRUE
1,2,119,113,2,2,FALSE
1,1,113,35,2,1,FALSE
3,3,7,5,2,3,FALSE
1,1,1,1,2,1,FALSE
13,17,238,92,2,5,FALSE
1,1,0,45,1,1,FALSE
6,9,104,71,2,2,FALSE
92,139,3604,739,2,43,TRUE
10,10,38,34,2,6,FALSE
1,1,1,1,1,1,FALSE
2,2,4,3,2,2,FALSE
17,25,580,88,2,15,FALSE
1,1,35,16,2,1,FALSE
4,4,23,8,2,4,FALSE
2,2,2,2,2,2,FALSE
1,1,1,1,1,1,FALSE
2,2,14,14,2,2,FALSE
4,6,22,9,2,6,FALSE
6,8,130,13,2,5,FALSE
5,7,10,11,2,6,FALSE
2,5,44,2,2,4,FALSE
1,4,12,17,1,1,FALSE
7,7,52,26,2,4,FALSE
14,19,1386,676,1,4,FALSE
1,1,5,0,1,1,FALSE
1,1,2,0,2,1,FALSE
2,2,17,0,2,2,FALSE
1,1,2,1,2,1,FALSE
1,1,5,1,2,1,FALSE
1,1,22,15,2,1,FALSE
4,5,70,16,2,4,FALSE
1,1,1,1,2,1,FALSE
4,4,20,13,2,3,FALSE
2,2,10,2,2,2,FALSE
2,2,19,4,2,1,FALSE
1,1,9,2,2,1,FALSE
1,1,4,1,2,1,FALSE
2,2,4,2,2,2,FALSE
3,6,37,18,2,2,FALSE
