nd,nf,la,ld,ndev,nuc,contains_bug
1,1,4,0,22,16,FALSE
2,3,5,0,31,92,FALSE
2,3,84,98,31,5,FALSE
2,2,4,2,31,21,FALSE
1,1,1,1,31,104,FALSE
2,2,37,51,32,451,FALSE
9,14,40,35,32,236,FALSE
13,13,78,5,32,216,FALSE
1,1,4,3,31,164,FALSE
2,2,22,9,31,456,FALSE
1,1,19,15,31,3,FALSE
7,7,79,65,31,599,FALSE
1,2,23,15,28,37,FALSE
1,1,7,1,31,88,FALSE
1,1,13,11,31,33,FALSE
1,1,0,0,1,0,FALSE
2,2,40,10,31,32,FALSE
1,1,6,0,31,95,FALSE
2,2,34,2,31,87,FALSE
3,9,93,7,31,22,FALSE
1,1,1,1,31,2,FALSE
2,3,115,4,31,3,FALSE
3,4,40,45,31,58,FALSE
1,2,233,101,31,5,FALSE
1,2,1,15,31,5,FALSE
1,1,3,0,28,13,FALSE
1,1,1,1,28,18,FALSE
1,1,5,4,31,94,FALSE
5,10,146,259,31,142,FALSE
1,1,1,1,31,83,FALSE
1,1,10,1,23,29,FALSE
1,1,3,1,31,30,FALSE
2,4,156,4,31,8,FALSE
2,2,87,1,26,39,FALSE
3,6,105,101,31,7,FALSE
1,1,5,1,31,58,FALSE
2,2,3,8,31,135,FALSE
2,2,38,78,31,32,FALSE
4,5,269,163,31,12,FALSE
1,1,124,0,1,0,FALSE
1,1,31,0,1,0,FALSE
1,1,3,1,31,18,FALSE
2,2,34,16,31,13,FALSE
5,5,1307,1,31,134,FALSE
2,2,10,3,31,87,FALSE
1,1,7,5,31,31,FALSE
1,1,2,2,31,30,FALSE
1,1,8,1,31,29,FALSE
1,1,17,15,31,28,FALSE
1,1,2,1,26,4,FALSE
2,2,21,14,31,85,FALSE
1,1,1,1,31,163,FALSE
1,6,42,42,31,64,FALSE
2,2,65,0,23,4,FALSE
2,2,51,50,31,420,FALSE
2,3,1,70,31,44,FALSE
1,1,5,0,31,82,FALSE
2,3,4,1,31,155,FALSE
2,2,38,3,31,242,FALSE
2,2,3,7,31,105,FALSE
1,1,14,0,1,0,FALSE
7,16,33,46,31,281,FALSE
24,256,5955,6038,31,662,TRUE
3,3,168,23,31,434,TRUE
2,2,23,5,31,210,FALSE
1,1,2,5,31,133,FALSE
10,13,41,15,31,333,TRUE
1,1,5,5,31,5,FALSE
6,20,237,245,31,575,TRUE
2,2,9,1,31,8,FALSE
1,3,4,0,1,0,FALSE
1,1,4,0,22,15,FALSE
2,2,314,287,31,60,FALSE
1,1,1,1,28,4,FALSE
1,1,1,1,28,3,FALSE
1,1,4,1,28,2,FALSE
1,1,25,1,31,17,FALSE
1,1,0,0,22,5,FALSE
1,2,2,3,28,18,FALSE
4,21,77,57,31,195,FALSE
2,2,17,2,31,17,FALSE
5,5,0,0,22,15,FALSE
4,6,1121,1,31,49,FALSE
9,23,523,682,31,1034,TRUE
1,1,3,3,31,76,FALSE
3,4,22,10,31,123,FALSE
2,2,6,3,31,16,FALSE
1,1,11,6,31,14,FALSE
1,1,8,8,31,2,FALSE
1,1,278,271,31,1,FALSE
7,29,1051,1053,31,1084,TRUE
1,2,3,3,28,195,FALSE
1,2,2,2,28,193,FALSE
2,2,26,22,30,11,TRUE
1,1,1,1,31,49,TRUE
1,1,0,8,31,3,FALSE
2,2,34,0,31,31,FALSE
5,7,195,32,31,552,FALSE
3,3,13,12,31,471,FALSE
2,2,8,3,31,463,FALSE
1,1,5,8,31,14,FALSE
3,3,12,5,31,305,TRUE
1,1,101,78,31,22,TRUE
6,10,323,342,31,610,TRUE
3,3,9,1,31,536,FALSE
1,1,2,2,28,49,FALSE
3,4,129,17,30,19,FALSE
2,4,91,66,30,59,FALSE
2,2,75,20,30,34,TRUE
2,2,5,2,30,18,FALSE
1,2,26,37,30,33,FALSE
2,2,73,30,30,44,FALSE
1,1,25,6,28,18,FALSE
1,1,6,2,28,158,FALSE
1,1,2,2,30,129,FALSE
1,1,2,2,30,128,FALSE
1,1,16,6,31,9,FALSE
1,1,3,1,26,38,FALSE
2,3,11,9,31,309,FALSE
2,2,4,4,31,184,FALSE
1,1,4,4,26,145,FALSE
2,2,21,6,31,38,FALSE
2,3,17,25,31,114,FALSE
3,5,56,27,30,104,FALSE
1,1,8,7,31,5,FALSE
2,2,2,20,31,510,FALSE
1,1,20,26,31,40,FALSE
1,1,19,25,31,41,FALSE
1,1,8,6,31,121,FALSE
1,1,7,5,31,120,FALSE
5,25,396,581,31,915,FALSE
3,3,23,0,31,545,FALSE
3,3,23,0,31,539,FALSE
12,13,75,39,31,946,TRUE
12,13,75,39,31,962,FALSE
1,1,15,3,30,14,FALSE
1,1,15,3,30,18,FALSE
2,3,38,9,30,49,FALSE
2,3,38,9,30,40,FALSE
2,6,42,25,30,98,FALSE
2,6,42,25,30,111,FALSE
3,5,48,22,30,97,FALSE
3,5,48,22,30,105,FALSE
2,10,346,477,30,244,TRUE
2,10,346,477,30,224,TRUE
1,1,18,24,30,51,FALSE
1,1,18,24,30,49,FALSE
1,1,19,10,31,14,FALSE
1,1,19,10,31,16,FALSE
1,1,1,1,30,18,FALSE
1,1,1,1,30,20,FALSE
1,1,4,7,30,17,FALSE
1,1,4,7,30,19,FALSE
1,1,2,2,30,126,FALSE
1,1,2,2,30,127,FALSE
2,3,3,3,31,392,FALSE
2,3,3,3,31,395,FALSE
1,1,20,13,31,119,FALSE
1,1,19,0,31,48,TRUE
1,1,1,1,31,12,FALSE
1,1,1,1,31,13,FALSE
2,4,24,9,31,144,FALSE
2,4,24,9,31,140,FALSE
4,4,37,39,31,388,FALSE
4,4,48,34,31,396,FALSE
3,3,28,14,31,438,TRUE
3,3,28,14,31,441,TRUE
2,4,15,9,31,105,FALSE
2,4,15,9,31,112,FALSE
1,1,4,3,31,19,FALSE
1,1,4,3,31,21,FALSE
1,1,33,60,30,11,FALSE
1,1,33,60,31,13,FALSE
1,1,20,6,23,32,FALSE
1,1,20,6,23,31,FALSE
1,1,1,1,31,4,FALSE
1,1,1,1,31,7,FALSE
1,1,33,17,28,107,FALSE
1,1,33,17,31,112,FALSE
7,8,108,11,31,627,TRUE
7,8,108,11,31,637,FALSE
1,2,9,6,31,116,FALSE
1,2,9,6,28,108,FALSE
1,1,2,1,28,105,FALSE
1,1,2,1,28,110,FALSE
1,1,12,28,28,108,FALSE
1,1,12,28,28,103,FALSE
1,1,0,5,30,44,FALSE
1,1,0,5,30,45,FALSE
1,2,53,41,28,105,FALSE
1,2,53,41,28,111,FALSE
2,2,4,36,31,87,TRUE
2,2,4,2,31,401,FALSE
1,1,64,1,28,46,TRUE
3,3,40,0,31,539,FALSE
4,5,39,36,31,263,TRUE
9,13,239,290,31,891,TRUE
3,4,69,50,31,120,TRUE
2,2,3,3,30,134,FALSE
2,2,5,9,30,26,FALSE
1,1,10,1,30,16,FALSE
1,1,0,21,26,144,FALSE
1,1,23,23,28,124,FALSE
1,1,2,1,30,1,FALSE
1,2,33,0,30,72,FALSE
3,4,2,6,30,152,FALSE
2,4,50,38,26,208,FALSE
1,1,14,0,28,103,FALSE
3,3,52,1,28,68,FALSE
1,1,9,5,28,157,FALSE
23,27,631,34,31,1356,FALSE
24,24,25,25,28,176,FALSE
2,8,2,2,22,2,FALSE
6,10,163,141,28,73,FALSE
1,2,92,584,22,2,FALSE
1,1,1,1,30,54,FALSE
2,2,18,6,28,122,TRUE
2,2,80,62,30,71,FALSE
1,3,264,265,28,26,FALSE
2,3,154,155,30,38,FALSE
2,5,181,117,30,115,FALSE
1,1,0,6,28,156,FALSE
4,11,14,13,30,403,FALSE
1,1,16,15,28,122,FALSE
1,1,1,1,25,7,FALSE
1,1,3,27,30,15,FALSE
1,1,0,13,30,33,FALSE
1,1,1,1,30,11,FALSE
2,2,18,32,30,16,FALSE
2,4,27,37,28,96,FALSE
1,4,92,109,28,27,FALSE
1,1,1,1,30,9,FALSE
1,1,5,2,30,8,FALSE
1,1,2,2,30,17,FALSE
1,1,1,1,30,16,FALSE
1,1,8,7,30,15,TRUE
1,1,6,0,30,69,FALSE
1,1,0,4,30,14,FALSE
1,1,19,1,28,8,FALSE
1,1,9,2,28,15,FALSE
1,1,22,8,22,5,FALSE
1,1,2,1,28,9,FALSE
2,2,7,7,30,371,FALSE
1,1,1,1,28,32,FALSE
1,1,2,2,28,31,TRUE
1,1,44,42,30,7,FALSE
1,1,0,1,30,21,FALSE
3,4,13,27,30,412,FALSE
5,6,188,6,28,610,FALSE
4,4,100,9,30,423,FALSE
2,3,10,12,30,19,FALSE
1,1,1,1,28,3,FALSE
1,1,0,0,28,9,FALSE
1,2,1,0,28,18,FALSE
1,1,12,10,28,155,FALSE
1,1,1,1,28,30,FALSE
1,1,1,1,28,13,FALSE
1,1,1,1,28,108,FALSE
1,1,2,2,28,154,FALSE
1,1,10,2,28,29,TRUE
3,4,44,17,28,410,TRUE
2,2,14,0,28,403,TRUE
2,2,43,19,22,35,FALSE
1,1,3,7,30,12,FALSE
1,1,0,3,30,11,FALSE
4,6,24,27,30,112,FALSE
1,3,0,140,28,35,FALSE
1,1,2,2,30,67,FALSE
9,17,164,16,28,97,FALSE
8,15,503,525,30,144,FALSE
1,1,22,3,28,4,FALSE
1,1,10,6,29,8,TRUE
1,1,2,5,28,47,FALSE
1,1,2,2,28,3,FALSE
2,3,1,12,29,93,FALSE
2,2,4,3,28,39,FALSE
4,7,391,230,28,464,TRUE
2,2,89,46,29,8,TRUE
3,4,154,25,29,69,TRUE
1,1,16,16,28,8,TRUE
4,4,286,5,30,74,TRUE
1,1,8,6,28,5,FALSE
3,5,29,29,28,407,FALSE
4,4,420,1,28,367,TRUE
1,1,1,1,28,35,FALSE
1,1,12,29,28,8,TRUE
1,1,11,12,28,7,FALSE
1,1,1,1,28,16,FALSE
1,1,3,4,22,32,FALSE
5,8,167,37,28,627,FALSE
1,1,9,10,28,107,FALSE
1,1,6,0,28,14,FALSE
3,4,134,213,28,2,FALSE
1,1,1,1,28,42,FALSE
1,1,8,10,28,6,FALSE
2,10,156,452,28,192,FALSE
6,12,274,282,28,358,FALSE
1,1,6,8,28,10,FALSE
1,1,6,6,28,11,FALSE
1,1,28,44,28,10,FALSE
1,1,45,19,28,9,FALSE
1,1,1,1,28,153,FALSE
1,1,1,1,28,152,FALSE
1,1,0,2,28,45,FALSE
5,6,82,30,28,381,TRUE
1,1,6,6,28,62,FALSE
41,110,1555,1110,28,687,FALSE
1,1,2,2,28,61,FALSE
1,1,5,4,28,47,FALSE
1,2,4,3,28,114,FALSE
5,7,325,100,28,302,FALSE
1,1,8,8,28,45,FALSE
1,1,21,27,28,44,FALSE
1,1,12,16,28,43,FALSE
1,1,0,1,28,44,FALSE
3,3,2,7,28,95,FALSE
1,1,1,1,28,52,FALSE
3,4,69,24,28,133,FALSE
1,1,0,93,22,7,FALSE
1,3,51,0,21,3,FALSE
2,2,106,59,28,43,FALSE
3,3,25,12,27,55,FALSE
2,2,105,38,27,42,FALSE
2,2,52,20,28,103,FALSE
1,2,7,6,28,28,FALSE
1,1,22,26,27,19,TRUE
8,15,150,276,28,640,TRUE
2,3,79,129,28,44,TRUE
1,1,7,7,28,360,FALSE
1,1,42,19,28,19,FALSE
1,1,47,47,28,359,FALSE
3,4,50,12,28,48,TRUE
3,3,4,4,28,385,FALSE
2,2,14,1,28,147,TRUE
2,3,5,580,28,153,FALSE
9,21,185,560,28,761,TRUE
1,1,2,0,28,1,FALSE
1,1,1,0,28,5,FALSE
4,8,390,184,28,52,TRUE
6,10,35,90,28,353,TRUE
3,4,4,14,28,100,FALSE
4,7,423,405,28,203,TRUE
1,1,2,2,28,356,FALSE
5,10,154,127,28,53,TRUE
1,1,5,2,28,4,FALSE
2,2,37,12,28,360,TRUE
1,3,197,172,28,66,TRUE
2,11,714,700,28,205,TRUE
2,2,2,2,28,49,FALSE
2,9,539,516,28,147,TRUE
1,1,1,1,28,105,FALSE
1,1,33,26,28,104,FALSE
1,3,6,10,28,99,FALSE
1,1,1,17,28,26,FALSE
1,1,68,13,28,103,FALSE
0,0,0,0,0,0,TRUE
2,2,3,3,28,471,FALSE
5,9,94,114,28,418,FALSE
3,4,16,11,28,359,FALSE
5,7,53,53,28,147,FALSE
43,114,8860,210,28,740,FALSE
1,1,3,3,28,3,FALSE
1,1,1,4,8,6,FALSE
1,1,2,2,28,42,FALSE
1,1,3,1,28,43,FALSE
5,5,78,24,28,405,TRUE
1,1,1,1,22,150,FALSE
1,5,5,5,28,9,FALSE
2,5,5,265,28,37,FALSE
1,1,12,9,8,5,FALSE
27,84,593,7721,28,756,FALSE
2,2,9,5,28,353,FALSE
4,5,30,16,28,137,FALSE
1,1,1,1,27,24,FALSE
2,2,33,6,27,37,TRUE
3,4,51,6,28,517,FALSE
4,10,464,289,28,531,TRUE
6,6,24,31,28,563,TRUE
1,1,1,1,28,49,FALSE
3,3,114,14,28,347,TRUE
5,9,376,228,28,483,TRUE
5,22,767,490,28,865,TRUE
12,20,264,88,28,50,TRUE
6,7,365,37,28,296,FALSE
4,31,825,604,28,519,TRUE
1,1,2,0,28,93,FALSE
5,7,110,36,28,184,TRUE
5,5,17,0,28,576,TRUE
6,7,39,20,28,597,TRUE
1,1,1,1,27,47,FALSE
6,10,56,66,27,410,TRUE
1,1,10,0,28,10,FALSE
1,1,1,1,27,46,FALSE
1,1,16,17,27,109,TRUE
4,4,33,21,27,54,TRUE
1,1,34,32,27,108,TRUE
2,2,24,9,28,81,TRUE
8,25,154,198,28,697,TRUE
2,2,6,3,28,95,FALSE
2,2,19,3,27,136,TRUE
0,0,0,0,0,0,TRUE
1,1,2,1,28,2,TRUE
1,1,17,4,28,1,FALSE
8,17,296,248,27,844,TRUE
1,1,11,5,27,9,TRUE
8,9,261,158,28,108,TRUE
1,1,17,2,27,99,FALSE
1,1,2,0,27,17,FALSE
24,35,455,430,27,1223,TRUE
6,6,327,35,28,654,TRUE
1,1,30,5,22,8,FALSE
5,13,254,202,27,126,TRUE
1,1,34,6,27,2,FALSE
1,1,2,1,27,2,TRUE
4,10,71,45,27,123,TRUE
8,34,307,140,27,953,TRUE
1,1,6,0,22,6,FALSE
7,15,475,240,27,480,TRUE
9,19,1055,407,27,383,TRUE
1,1,8,1,22,5,FALSE
3,3,64,3,27,23,FALSE
2,2,51,55,27,101,FALSE
1,1,13,16,22,30,FALSE
1,1,12,9,26,112,FALSE
2,5,19,13,27,138,FALSE
1,1,2,6,27,26,FALSE
1,2,10,10,27,11,FALSE
5,13,134,34,27,470,FALSE
3,7,44,11,27,417,FALSE
1,1,0,2,22,149,FALSE
1,1,5,28,22,148,FALSE
1,1,2,2,23,2,FALSE
1,1,1,1,27,44,FALSE
1,1,1,1,27,43,FALSE
1,1,53,0,1,0,TRUE
9,26,140,149,27,715,FALSE
1,1,1,1,22,41,FALSE
1,1,1,1,25,4,TRUE
2,2,37,2,26,3,FALSE
2,3,7,2,26,105,FALSE
1,1,2,4,26,111,FALSE
2,2,22,15,22,49,TRUE
1,1,7,1,25,6,FALSE
1,1,9,2,22,26,FALSE
5,6,70,19,26,64,FALSE
1,1,15,10,22,9,FALSE
1,2,21,10,24,35,TRUE
2,4,39,16,24,51,TRUE
1,1,1,1,22,6,FALSE
1,2,5,5,26,22,TRUE
2,3,14,2,25,156,FALSE
2,2,15,11,26,38,TRUE
1,6,102,0,25,24,FALSE
1,1,1,1,26,49,FALSE
2,2,4,4,26,71,TRUE
1,1,7,20,26,22,FALSE
2,2,87,27,26,34,TRUE
2,2,61,10,26,32,TRUE
2,2,119,9,26,129,TRUE
1,1,2,1,22,1,FALSE
1,1,10,4,24,16,TRUE
1,1,9,4,24,15,FALSE
1,1,2,2,26,17,FALSE
1,1,2,2,25,92,FALSE
2,2,7,6,26,352,FALSE
1,2,2,2,25,170,FALSE
1,1,4,0,25,9,FALSE
2,2,49,14,26,29,TRUE
2,3,26,14,26,182,FALSE
22,23,162,100,26,927,FALSE
1,2,6,11,25,34,FALSE
1,1,6,0,25,91,FALSE
3,3,17,3,26,164,FALSE
46,71,1328,1105,26,1125,FALSE
1,1,3,2,22,26,FALSE
1,1,2,2,22,15,FALSE
1,1,14,0,22,22,FALSE
24,24,0,268,22,36,FALSE
1,1,1,1,22,40,FALSE
1,1,1,1,22,39,FALSE
6,12,633,280,26,729,TRUE
3,24,40,44,26,199,FALSE
10,16,522,7,26,458,TRUE
1,1,47,3,25,16,TRUE
1,1,3,3,25,9,FALSE
3,3,27,0,26,337,FALSE
3,3,27,0,26,331,FALSE
24,43,747,363,26,975,TRUE
24,43,747,363,26,1021,FALSE
2,2,16,9,25,25,TRUE
4,4,102,12,25,358,TRUE
1,2,6,4,25,168,TRUE
4,18,106,73,25,657,TRUE
3,3,46,41,25,342,TRUE
1,1,2,3,25,18,FALSE
1,3,3,4,25,96,FALSE
1,1,72,73,25,87,TRUE
2,3,7,14,25,105,FALSE
1,3,41,38,25,9,FALSE
8,17,141,172,25,128,TRUE
4,6,12,98,25,54,FALSE
7,19,33,33,25,342,FALSE
1,3,85,101,25,5,FALSE
1,1,2,0,25,17,FALSE
1,1,0,101,25,2,FALSE
3,3,52,5,25,341,FALSE
1,1,8,8,25,16,FALSE
1,1,52,8,1,1,TRUE
5,5,102,19,25,396,FALSE
3,3,10,2,25,31,FALSE
1,1,0,3,25,2,FALSE
3,3,38,52,25,32,TRUE
2,2,6,8,25,18,TRUE
3,3,6,6,25,17,FALSE
3,3,92,31,25,27,FALSE
1,1,1,3,23,13,FALSE
1,1,25,1,23,12,FALSE
1,2,34,0,25,2,FALSE
1,1,74,38,24,89,TRUE
4,8,215,101,25,55,TRUE
18,101,272,10,25,355,FALSE
2,7,78,106,24,20,FALSE
1,2,49,40,23,4,TRUE
2,5,13,11,25,83,FALSE
1,1,22,24,25,3,FALSE
1,1,17,0,25,2,FALSE
3,3,34,0,25,439,FALSE
2,6,53,35,25,181,FALSE
1,1,69,0,1,0,FALSE
10,19,134,484,25,845,TRUE
1,1,2,6,23,9,FALSE
1,1,0,3,24,94,FALSE
3,3,6,2,23,95,FALSE
9,14,4,3,25,381,FALSE
1,1,2,1,23,84,FALSE
5,11,99,40,23,318,FALSE
1,1,1,1,23,318,FALSE
1,1,12,9,24,88,FALSE
4,13,85,70,24,377,FALSE
7,11,2,1,24,20,FALSE
1,1,10,9,22,102,FALSE
7,7,3,16,24,25,FALSE
10,24,70,56,23,115,FALSE
15,275,90,102,23,222,FALSE
1,1,3,12,8,4,FALSE
28,55,82,781,23,468,FALSE
2,2,10,34,22,151,FALSE
3,3,7,6,23,119,TRUE
2,2,6,7,23,111,FALSE
2,2,8,8,23,109,FALSE
2,2,41,34,23,52,TRUE
3,9,129,119,23,227,TRUE
1,1,1,1,23,1,FALSE
1,1,1,1,23,316,FALSE
1,1,2,11,23,315,FALSE
2,3,13,17,23,338,FALSE
2,5,33,44,23,59,FALSE
1,1,75,58,23,30,FALSE
2,2,25,1,22,21,FALSE
2,2,31,18,23,22,FALSE
3,4,80,1,23,22,FALSE
3,5,93,63,23,349,FALSE
2,2,43,33,22,20,FALSE
1,2,42,0,22,36,TRUE
1,1,2,0,22,25,FALSE
1,2,4,1,22,2,FALSE
1,2,2,2,22,36,FALSE
5,95,0,0,23,102,FALSE
1,1,3,3,22,24,FALSE
1,1,3,1,22,23,FALSE
2,24,40,40,22,123,FALSE
2,3,434,0,23,3,TRUE
4,9,8,9,22,56,FALSE
5,125,0,0,23,8,FALSE
1,1,25,1,22,12,FALSE
1,2,59,37,22,8,FALSE
1,1,6,13,23,32,FALSE
2,2,11,13,22,160,FALSE
1,1,1,3,22,7,TRUE
1,1,0,3,22,7,FALSE
1,1,70,6,23,31,FALSE
1,1,0,2,22,42,FALSE
1,1,7,6,22,82,FALSE
2,2,126,94,22,35,TRUE
1,1,14,10,22,54,FALSE
1,1,6,7,22,81,FALSE
1,1,1,1,22,38,FALSE
2,2,2,4,22,32,FALSE
2,2,20,18,22,30,FALSE
1,1,4,0,22,146,FALSE
1,1,5,1,22,80,FALSE
1,1,1,2,23,312,FALSE
3,6,162,122,22,29,FALSE
2,4,37,2,22,237,FALSE
1,1,5,7,22,144,FALSE
1,1,2,0,22,15,FALSE
1,1,0,1,22,52,FALSE
2,4,0,12,22,36,FALSE
3,10,43,21,22,287,FALSE
1,2,1,32,22,61,FALSE
1,2,32,1,22,59,FALSE
1,1,20,7,22,5,TRUE
1,1,55,68,23,29,FALSE
3,3,66,20,23,369,FALSE
1,2,5,4,22,81,FALSE
2,4,113,37,22,177,TRUE
1,4,87,49,22,96,TRUE
1,1,29,23,22,6,FALSE
1,1,2,24,22,5,FALSE
1,1,10,32,22,90,FALSE
1,1,3,0,22,89,FALSE
1,1,10,11,22,88,FALSE
1,1,2,2,23,310,FALSE
1,1,13,13,23,309,FALSE
1,1,8,0,1,0,FALSE
26,34,1010,238,22,536,FALSE
3,4,89,7,22,110,FALSE
1,2,23,52,22,13,TRUE
1,1,1,0,22,11,FALSE
1,1,1,2,22,15,FALSE
2,5,190,294,22,11,FALSE
1,1,3,3,22,76,FALSE
2,2,6,2,22,53,FALSE
3,3,27,208,22,108,FALSE
2,10,47,5,22,165,FALSE
1,1,30,3,22,75,FALSE
1,1,2,2,22,1,FALSE
1,1,4,4,22,23,FALSE
4,5,156,8,22,87,TRUE
3,6,148,126,23,316,FALSE
3,6,48,5,22,143,FALSE
1,1,9,20,23,27,FALSE
1,1,71,4,23,26,FALSE
2,6,285,300,22,326,TRUE
1,1,0,10,22,5,FALSE
2,2,50,12,22,6,FALSE
3,5,0,383,22,15,FALSE
2,2,9,4,22,82,FALSE
1,1,0,67,19,4,FALSE
1,6,30,21,22,17,FALSE
0,0,0,0,0,0,TRUE
1,1,14,2,22,40,TRUE
3,4,47,26,22,106,TRUE
1,1,19,12,22,139,FALSE
1,5,82,23,22,169,TRUE
7,309,0,579,22,526,FALSE
2,2,6,21,22,23,FALSE
7,7,117,0,23,332,FALSE
1,1,5,4,22,13,FALSE
5,14,531,70,22,546,FALSE
5,7,155,54,22,430,TRUE
17,81,52,64,22,121,TRUE
8,30,6,7,22,123,FALSE
5,8,85,57,22,108,TRUE
5,9,90,36,22,406,FALSE
7,14,5,4,22,47,FALSE
1,1,2,0,22,65,FALSE
9,21,305,859,22,143,TRUE
9,166,97,53,22,362,TRUE
14,33,599,930,22,571,TRUE
8,9,88,34,22,33,FALSE
3,23,1586,630,22,176,TRUE
3,19,1797,1544,22,256,TRUE
1,1,41,41,22,9,FALSE
2,2,142,137,22,310,FALSE
4,4,107,59,22,35,FALSE
1,1,0,49,18,2,FALSE
4,6,62,98,22,166,FALSE
3,4,0,985,22,24,FALSE
3,4,12,5,22,81,FALSE
1,1,1,1,22,7,FALSE
13,16,18,20,22,89,FALSE
1,1,1,1,22,49,FALSE
44,98,4356,903,22,929,FALSE
1,1,12,6,22,98,FALSE
