nd,nf,la,ld,ndev,nuc,contains_bug
9,9,322,323,9,220,FALSE
1,1,381,0,1,0,FALSE
1,1,2,2,8,40,FALSE
1,1,1,1,8,96,FALSE
1,1,83,83,8,39,FALSE
2,2,16,4,8,18,FALSE
1,1,12,0,8,13,FALSE
1,1,1,1,7,96,FALSE
2,2,13,10,8,39,FALSE
1,1,8,5,8,37,FALSE
1,1,2,2,7,95,FALSE
1,1,15,6,8,11,FALSE
1,1,11,12,8,106,FALSE
1,1,9,1,8,12,FALSE
2,3,11,7,8,53,FALSE
1,1,11,2,8,10,FALSE
1,1,5,1,8,8,FALSE
3,3,108,23,8,17,FALSE
2,2,28,6,8,53,FALSE
3,3,1433,1385,8,21,TRUE
1,1,1,1,8,16,FALSE
2,2,8,2,8,53,FALSE
5,6,71,19,8,176,FALSE
1,1,2,1,8,6,FALSE
2,2,6,13,8,27,FALSE
2,2,8,6,8,11,FALSE
1,1,31,0,6,13,FALSE
2,3,19,22,8,15,FALSE
1,1,10,5,8,4,FALSE
3,4,34,39,8,67,FALSE
6,13,176,60,8,278,FALSE
1,1,4,0,8,38,FALSE
1,1,53,51,8,4,FALSE
1,1,0,5,8,38,FALSE
1,1,2,1,8,37,FALSE
2,2,9,11,8,97,FALSE
2,3,14,23,8,8,FALSE
1,1,4,14,8,3,FALSE
1,1,9,19,8,2,TRUE
2,3,14,11,8,149,FALSE
1,2,18,12,8,30,FALSE
8,11,224,136,8,224,TRUE
7,15,275,210,8,158,TRUE
1,1,4,0,8,1,FALSE
12,34,5593,5629,8,666,FALSE
1,2,2,4,8,83,FALSE
9,24,437,379,8,395,FALSE
8,22,313,257,8,514,TRUE
2,2,41,21,8,155,FALSE
5,11,231,168,8,242,FALSE
8,17,563,471,8,450,TRUE
10,21,410,355,8,574,TRUE
1,1,18,0,8,6,FALSE
8,15,336,339,8,323,TRUE
1,1,27,23,8,2,FALSE
1,1,0,32,6,12,FALSE
13,41,402,805,8,750,FALSE
5,6,114,172,8,345,FALSE
1,1,16,11,6,11,FALSE
2,4,260,0,1,0,FALSE
1,1,0,321,8,80,FALSE
4,4,21,32,8,159,FALSE
10,14,827,751,8,29,TRUE
1,1,31,14,8,1,FALSE
11,12,84,104,8,444,FALSE
1,1,15,3,7,33,FALSE
1,1,3,3,7,32,FALSE
2,2,48,15,8,104,FALSE
1,1,16,7,6,9,FALSE
2,2,31,11,6,18,FALSE
2,2,25,11,6,16,FALSE
1,1,11,4,8,146,FALSE
1,2,3,3,7,172,FALSE
1,1,10,2,7,8,FALSE
1,1,13,2,7,31,FALSE
1,1,3,0,8,26,FALSE
1,1,1,1,7,1,FALSE
1,2,3,3,7,170,FALSE
2,3,7,8,8,243,FALSE
1,2,3,3,7,168,FALSE
2,4,70,21,8,87,FALSE
2,2,4,1,8,108,FALSE
2,4,87,45,8,83,FALSE
1,3,62,20,8,116,FALSE
2,2,8,3,8,168,FALSE
2,2,36,49,8,93,FALSE
1,1,16,41,8,23,FALSE
4,7,114,105,8,97,FALSE
1,2,30,21,8,112,FALSE
2,2,53,40,8,90,FALSE
2,3,127,48,8,125,TRUE
1,1,0,3,7,4,FALSE
2,3,113,47,8,122,TRUE
1,2,3,3,7,166,FALSE
1,1,4,1,7,17,FALSE
1,1,14,5,7,45,FALSE
1,2,3,3,7,164,FALSE
1,1,8,6,7,14,FALSE
1,1,4,5,8,143,FALSE
1,1,4,0,7,24,FALSE
1,1,12,4,7,16,FALSE
1,1,1,1,7,73,FALSE
1,1,2,2,7,89,FALSE
1,2,10,3,8,154,FALSE
1,1,8,1,7,44,FALSE
1,1,5,0,7,8,FALSE
3,3,10,4,8,130,FALSE
1,1,1,1,8,26,FALSE
1,2,2,2,7,160,FALSE
1,1,72,78,8,25,FALSE
1,1,67,69,8,13,FALSE
8,8,331,18,8,193,FALSE
1,1,7,5,7,27,FALSE
1,1,2,1,7,16,FALSE
4,5,85,24,8,243,TRUE
2,2,38,54,8,13,FALSE
3,4,43,1,8,241,FALSE
3,3,70,1,8,234,FALSE
2,5,105,33,8,189,FALSE
1,1,1,1,8,4,FALSE
3,6,119,24,8,271,FALSE
2,3,231,243,8,12,FALSE
1,1,4,3,8,88,FALSE
1,1,2,2,7,15,FALSE
1,1,1,1,8,136,FALSE
1,1,1,1,7,84,FALSE
2,2,33,6,8,222,FALSE
2,2,20,3,8,129,FALSE
1,1,5,0,8,7,FALSE
1,2,6,6,1,2,FALSE
1,1,5,2,8,6,FALSE
1,2,12,3,8,139,FALSE
1,1,31,30,8,4,FALSE
1,1,53,17,8,3,TRUE
1,2,173,0,1,0,FALSE
1,1,6,0,8,1,FALSE
1,2,3,3,7,41,FALSE
3,6,0,0,7,6,FALSE
1,1,7,32,7,4,FALSE
2,2,8,2,7,90,FALSE
5,11,75,43,7,214,FALSE
1,1,13,1,7,129,FALSE
1,2,24,2,7,53,TRUE
1,1,16,8,6,8,TRUE
1,1,5,1,7,18,FALSE
5,5,32,3,7,210,TRUE
1,2,48,4,7,33,TRUE
1,1,15,13,7,6,FALSE
1,1,2,0,7,81,FALSE
1,1,7,0,6,10,FALSE
1,1,3,1,6,9,FALSE
6,6,37,24,7,304,FALSE
2,4,68,14,7,95,TRUE
2,2,11,6,7,34,FALSE
2,3,21,15,7,120,TRUE
3,6,136,63,7,72,TRUE
2,2,12,1,7,7,TRUE
1,1,4,0,7,77,FALSE
1,2,13,19,7,38,FALSE
1,1,5,3,7,76,FALSE
1,1,3,0,7,71,FALSE
2,4,37,23,7,237,TRUE
6,10,250,232,7,269,TRUE
3,4,5,144,0,0,FALSE
