nd,nf,la,ld,ndev,nuc,contains_bug
2,7,2,2,1,7,FALSE
1,8,0,0,1,0,FALSE
2,2,71,4,1,0,FALSE
1,1,2,2,1,0,FALSE
2,2,2,2,1,0,FALSE
1,1,5,0,1,0,FALSE
3,4,19,2,1,0,FALSE
1,1,2,2,1,0,FALSE
1,1,120,89,1,0,FALSE
1,1,18,17,1,3,FALSE
1,1,16,15,1,2,FALSE
1,1,14,14,1,1,FALSE
1,1,1,1,1,3,FALSE
1,1,1,1,1,2,FALSE
1,1,2,2,1,1,FALSE
5,47,9977,118,1,0,FALSE
2,2,36,36,1,0,FALSE
1,1,26,4,1,0,FALSE
1,2,103,107,1,2,TRUE
1,1,1,1,1,1,FALSE
4,4,169,169,1,0,FALSE
1,1,6,3,1,0,FALSE
1,1,8,3,1,0,FALSE
1,1,5,1,1,0,FALSE
5,5,93,93,1,0,FALSE
1,1,54,39,1,0,FALSE
2,3,384,280,1,0,FALSE
1,2,2,3,1,0,FALSE
37,37,1999,448,1,0,FALSE
1,1,60,5,1,0,TRUE
1,1,15,14,1,0,FALSE
1,1,21,21,1,0,FALSE
1,1,5,5,1,0,TRUE
1,1,0,2,1,1,FALSE
2,2,7,7,1,0,FALSE
1,1,1,0,1,1,FALSE
1,1,17,16,1,0,FALSE
1,1,5,5,1,0,FALSE
1,1,2,0,1,0,FALSE
1,1,2,2,1,1,FALSE
1,1,9,6,1,2,FALSE
1,1,1,5,1,1,FALSE
1,1,1,5,1,0,FALSE
1,1,2,1,1,0,FALSE
1,1,0,0,1,0,FALSE
5,7,341,339,1,4,FALSE
12,17,474,472,1,0,FALSE
6,6,20,11,1,0,FALSE
11,11,104,104,1,0,FALSE
1,1,2,0,1,0,FALSE
1,1,2,2,1,0,FALSE
1,1,2,2,1,0,FALSE
2,2,45,114,1,0,FALSE
4,4,106,38,1,0,TRUE
2,2,53,44,1,1,FALSE
1,1,50,49,1,0,FALSE
1,1,11,3,1,1,FALSE
1,1,0,151,1,0,FALSE
2,3,3,2,1,0,FALSE
2,2,9,1,1,1,FALSE
37,37,2574,1368,1,0,FALSE
1,1,1,4,1,1,FALSE
2,2,0,2,1,1,FALSE
3,3,50,37,1,4,TRUE
8,14,417,333,1,11,TRUE
6,8,225,80,1,4,TRUE
1,1,90,221,1,0,TRUE
2,2,20,9,1,0,TRUE
1,1,4,4,1,0,FALSE
4,4,54,39,1,0,FALSE
3,3,36,7,1,0,TRUE
3,3,4,3,1,1,FALSE
1,1,8,0,1,0,FALSE
5,5,31,31,1,0,FALSE
1,1,23,12,1,0,TRUE
1,1,1,1,1,1,FALSE
1,1,0,1,1,1,FALSE
3,3,16,13,1,0,FALSE
1,1,2,135,1,0,FALSE
2,2,4,1,1,1,TRUE
1,1,4,2,1,0,TRUE
3,5,11,11,1,0,FALSE
1,1,1,1,1,0,FALSE
1,1,2,1,1,0,FALSE
35,36,453,351,1,2,FALSE
7,15,13,11,1,2,FALSE
2,2,3,5,1,3,FALSE
2,2,43,0,1,1,FALSE
3,3,5,16,1,4,FALSE
1,1,2,1,1,0,FALSE
1,2,1908,1898,1,3,TRUE
3,4,29,20,1,6,FALSE
3,5,209,61,1,3,TRUE
8,10,310,133,1,0,TRUE
3,3,11,12,1,1,TRUE
1,1,5,6,1,0,TRUE
1,1,17,8,1,0,TRUE
4,4,7,12,1,14,TRUE
1,1,2,7,1,0,FALSE
1,1,6,2,1,1,FALSE
5,5,124,24,1,6,TRUE
1,1,1,0,1,1,FALSE
1,1,10,0,1,0,FALSE
1,1,3,8,1,1,TRUE
3,4,8,22,1,3,TRUE
5,9,459,370,1,4,TRUE
1,1,0,54,1,1,FALSE
3,3,14,5,1,0,FALSE
7,9,84,169,1,0,TRUE
1,1,2,2,1,0,FALSE
1,1,2,2,1,0,TRUE
4,7,38,16,1,0,FALSE
1,1,10,0,1,0,FALSE
6,6,39,39,1,0,FALSE
2,35,48,47,1,34,FALSE
14,51,132,84,1,0,TRUE
13,170,300,64,1,3,TRUE
2,4,48,76,1,0,FALSE
18,42,65,105,1,0,FALSE
1,2,10,10,1,0,FALSE
1,1,1,1,1,0,FALSE
36,36,168,27,1,0,FALSE
1,1,52,47,1,0,FALSE
1,1,12,1,1,0,FALSE
2,2,129,129,1,0,FALSE
2,11,38,2707,1,0,FALSE
6,8,114,53,1,0,TRUE
2,2,90,31,1,0,TRUE
1,1,1,1,1,0,TRUE
5,6,66,72,1,0,TRUE
4,4,140,140,1,0,FALSE
1,1,5,47,1,0,TRUE
1,1,2,1,1,0,FALSE
4,5,38,32,1,0,FALSE
2,2,2,2,1,0,TRUE
3,9,30,67,1,0,FALSE
1,1,20,16,1,1,TRUE
35,35,446,140,1,0,FALSE
2,2,38,6,1,0,FALSE
1,1,5,4,1,1,TRUE
3,3,50,38,1,0,TRUE
1,1,1,1,1,0,FALSE
8,8,379,379,1,0,FALSE
1,1,3,3,1,0,FALSE
2,2,14,13,1,0,FALSE
1,1,4,15,1,0,TRUE
3,3,5,4,1,0,FALSE
5,6,75,24,1,0,TRUE
2,2,5,4,1,0,FALSE
2,11,2690,23,1,0,FALSE
2,2,2,2,1,0,FALSE
3,3,13,8,1,0,FALSE
2,2,60,5,1,0,FALSE
3,3,58,14,1,0,TRUE
6,9,116,32,1,2,TRUE
6,7,158,57,1,0,TRUE
1,1,22,15,1,0,FALSE
3,4,53,76,1,0,TRUE
1,1,1,0,1,1,FALSE
4,5,7,7,1,0,FALSE
8,8,268,260,1,1,FALSE
2,2,12,3,1,0,TRUE
6,12,129,138,1,0,TRUE
1,1,2,82,1,0,FALSE
1,1,7,0,1,1,FALSE
6,8,151,63,1,9,TRUE
1,1,1,1,1,0,FALSE
3,3,51,26,1,4,FALSE
8,13,624,48,1,4,TRUE
3,5,112,40,1,0,FALSE
1,1,1,1,1,0,FALSE
1,1,3,0,1,0,FALSE
4,5,222,222,1,0,FALSE
2,4,16,35,1,0,FALSE
5,6,76,26,1,0,TRUE
1,1,0,2,1,1,FALSE
1,1,1,1,1,0,TRUE
1,1,3,3,1,0,TRUE
4,5,31,49,1,0,TRUE
1,1,17,15,1,0,FALSE
1,1,4,0,1,0,FALSE
4,5,60,60,1,0,FALSE
2,3,36,21,1,0,FALSE
4,4,32,4,1,0,TRUE
4,4,155,126,1,0,FALSE
34,34,1525,539,1,0,FALSE
1,1,7,0,1,0,TRUE
1,1,15,1,1,2,TRUE
1,1,6,1,1,0,TRUE
1,1,9,3,1,0,FALSE
1,1,5,1,1,0,FALSE
1,1,73,6,1,0,FALSE
2,7,1,476,1,0,FALSE
2,2,18,9,1,0,FALSE
2,4,2,5,1,0,FALSE
1,1,3,3,1,0,FALSE
1,1,13,9,1,0,FALSE
2,2,9,45,1,0,FALSE
4,4,45,2,1,0,FALSE
4,6,5,475,1,2,TRUE
1,1,2,2,1,1,FALSE
4,5,62,28,1,0,TRUE
1,1,3,2,1,0,FALSE
4,5,12,17,1,1,TRUE
1,1,16,5,1,1,TRUE
2,3,18,19,1,7,FALSE
1,1,39,9,1,4,TRUE
1,1,13,7,1,4,TRUE
1,1,1,1,1,3,FALSE
1,1,1,1,1,2,FALSE
1,1,3,0,1,3,FALSE
4,4,25,14,1,4,FALSE
5,9,730,104,1,3,TRUE
1,1,30,17,1,0,TRUE
1,1,5,5,1,0,FALSE
5,5,198,56,1,3,TRUE
1,1,27,5,1,1,TRUE
1,1,44,7,1,0,TRUE
5,6,50,15,1,1,TRUE
5,5,543,539,1,0,FALSE
2,2,68,61,1,0,TRUE
1,1,3,2,1,0,FALSE
5,6,148,2,1,0,TRUE
1,1,1,0,1,0,FALSE
1,1,35,18,1,0,FALSE
1,3,0,0,1,3,FALSE
2,4,42,34,1,0,TRUE
2,2,5,3,1,1,FALSE
1,1,296,296,1,0,TRUE
35,35,6000,5901,1,0,FALSE
10,11,291,0,1,2,FALSE
10,16,106,46,1,0,FALSE
2,7,1,1739,1,0,FALSE
1,1,67,15,1,0,FALSE
1,1,1,56,1,0,FALSE
1,1,1,1,1,0,FALSE
4,5,22,12,1,2,TRUE
5,10,82,43,1,0,FALSE
1,1,10,10,1,0,FALSE
1,1,26,28,1,0,FALSE
5,5,26,1,1,0,TRUE
1,1,7,0,1,0,FALSE
1,1,2,2,1,1,FALSE
12,31,9,12,1,0,FALSE
1,1,2,2,1,0,FALSE
3,4,7,7,1,2,FALSE
2,2,18,18,1,0,FALSE
1,1,0,1,1,0,FALSE
