nd,nf,la,ld,ndev,nuc,contains_bug
1,2,14,0,11,12,FALSE
1,2,6,6,12,109,FALSE
6,17,0,2,12,99,FALSE
3,3,3,3,12,87,FALSE
3,11,98,137,9,159,FALSE
3,3,36,25,12,40,FALSE
1,1,2,2,12,6,FALSE
1,1,4,1,1,1,FALSE
1,1,10,3,12,5,FALSE
1,1,1,3,12,63,FALSE
1,1,1,0,12,4,FALSE
1,1,4,1,12,47,FALSE
1,1,91,0,1,0,FALSE
1,1,64,11,12,3,TRUE
3,3,27,16,12,11,TRUE
1,1,0,5,11,3,FALSE
1,1,418,0,1,0,FALSE
1,1,1,1,12,1,FALSE
1,1,3,0,12,16,FALSE
3,3,123,12,12,56,FALSE
1,1,1,16,12,6,FALSE
3,3,0,150,12,44,FALSE
2,2,0,83,12,56,FALSE
2,3,46,2,11,9,FALSE
1,1,4,0,11,2,FALSE
8,29,0,0,12,43,FALSE
1,1,37,1,12,9,FALSE
1,1,46,0,12,10,FALSE
2,3,36,7,12,76,FALSE
1,1,28,0,1,1,FALSE
1,1,5,0,12,13,FALSE
1,2,10,9,12,71,FALSE
1,2,2,8,11,7,FALSE
2,3,81,26,12,74,FALSE
1,2,11,3,11,27,FALSE
1,2,92,16,12,11,TRUE
3,4,17,4,12,179,FALSE
3,4,61,32,12,202,TRUE
5,7,28,22,12,54,TRUE
2,3,44,5,12,78,TRUE
1,1,30,0,12,5,FALSE
1,1,3,3,11,1,FALSE
2,3,109,23,12,125,FALSE
1,1,123,4,11,3,FALSE
2,3,16,1,12,9,FALSE
1,1,11,0,12,4,FALSE
1,2,14,2,11,5,FALSE
3,4,19,1,12,8,FALSE
1,1,64,0,12,2,FALSE
1,2,15,0,11,4,FALSE
2,3,12,24,12,66,TRUE
2,2,2,2,12,27,TRUE
1,2,6,2,12,9,FALSE
2,4,475,26,11,7,FALSE
1,1,198,198,1,1,TRUE
1,1,3,4,1,1,FALSE
2,4,28,1,12,71,FALSE
1,2,30,4,11,2,FALSE
1,1,1,1,11,1,FALSE
1,1,33,9,12,27,FALSE
1,1,0,2,12,13,FALSE
1,1,69,152,12,6,TRUE
2,2,207,1,12,19,TRUE
2,3,95,45,12,65,FALSE
2,3,28,1,11,9,FALSE
3,3,78,20,12,84,TRUE
2,3,13,8,12,10,TRUE
1,1,4,0,12,8,FALSE
1,1,1,1,11,2,TRUE
1,1,1,0,12,44,FALSE
3,3,12,6,12,100,FALSE
1,1,10,1,12,3,TRUE
2,2,21,12,12,20,TRUE
1,1,7,1,11,3,FALSE
1,1,14,0,1,0,TRUE
2,3,25,4,12,145,TRUE
1,1,3,0,12,13,FALSE
2,2,22,0,12,37,FALSE
1,1,31,0,1,0,FALSE
1,1,17,2,11,38,FALSE
1,1,2,6,12,28,FALSE
1,1,0,21,11,7,FALSE
1,1,27,1,12,12,FALSE
2,2,48,1,12,35,FALSE
1,1,1,1,12,12,FALSE
3,3,6,8,12,45,FALSE
1,1,6,0,12,27,FALSE
1,1,58,9,12,11,FALSE
1,1,7,0,12,17,FALSE
1,1,25,28,11,2,FALSE
3,3,20,1,12,174,TRUE
1,2,21,6,12,79,FALSE
3,3,23,6,12,57,FALSE
1,2,41,5,12,59,FALSE
1,1,9,15,12,41,FALSE
1,2,10,12,12,48,FALSE
1,1,264,4,12,2,TRUE
2,3,15,0,12,86,FALSE
2,2,37,0,12,35,TRUE
7,8,137,77,12,104,TRUE
3,4,3,36,12,138,FALSE
2,2,2,3,12,38,FALSE
1,1,1,1,11,3,FALSE
1,1,2,2,12,1,FALSE
3,3,3,3,12,28,FALSE
2,3,920,0,1,0,TRUE
2,3,91,82,12,76,FALSE
1,1,14,19,12,66,TRUE
2,2,84,74,12,65,TRUE
4,23,2476,0,11,5,TRUE
1,1,14,1,11,1,FALSE
1,3,169,158,11,26,TRUE
1,1,28,14,12,37,FALSE
1,2,141,93,12,55,TRUE
