nd,nf,la,ld,ndev,nuc,contains_bug
1,1,1,1,2,20,FALSE
2,3,418,373,2,26,FALSE
3,15,398,314,2,30,FALSE
1,1,3,3,2,17,FALSE
2,4,294,253,2,34,FALSE
1,1,4,4,2,2,FALSE
3,8,2690,2463,2,22,FALSE
4,6,146,36,2,44,FALSE
3,9,249,27,2,38,FALSE
2,3,148,70,2,23,FALSE
1,1,22,25,2,11,FALSE
1,2,30,30,2,18,FALSE
2,6,236,125,2,21,FALSE
2,4,2513,2612,2,17,TRUE
2,7,3009,2833,2,17,FALSE
5,9,3998,3691,2,318,FALSE
3,5,2555,2667,2,157,FALSE
3,4,2298,2166,2,149,TRUE
2,3,2428,2300,2,4,TRUE
2,2,5,5,2,175,FALSE
1,1,0,0,2,45,FALSE
1,1,109,0,1,0,FALSE
3,3,23,14,2,167,FALSE
4,4,940,930,2,349,FALSE
1,1,239,233,2,28,FALSE
1,1,268,245,2,37,FALSE
3,3,24,6,2,344,FALSE
4,6,348,291,2,199,FALSE
1,1,10,0,1,1,FALSE
1,1,52,0,1,0,FALSE
4,8,414,315,2,186,FALSE
2,2,11,10,2,52,FALSE
5,25,4325,4293,2,469,FALSE
4,24,3489,3471,2,293,FALSE
1,5,94,135,2,180,FALSE
1,4,470,637,2,147,FALSE
1,3,112,94,2,145,FALSE
2,2,116,412,2,159,FALSE
1,1,1,5,2,147,FALSE
3,4,37,10,2,232,TRUE
3,3,74,7,2,265,FALSE
2,2,5,5,2,173,FALSE
1,1,0,0,2,44,FALSE
4,5,52,19,2,250,TRUE
3,3,29,25,2,295,FALSE
1,2,5,5,2,42,FALSE
2,8,116,46,2,231,TRUE
3,5,198,7,2,262,FALSE
2,2,6,2,2,167,FALSE
5,8,105,39,2,411,TRUE
1,1,8,1,2,136,FALSE
1,2,56,55,2,40,FALSE
1,4,99,176,2,61,FALSE
2,6,307,263,2,222,TRUE
4,5,287,200,2,210,FALSE
6,10,225,49,2,543,FALSE
5,6,45,13,2,591,FALSE
2,2,5,5,2,170,FALSE
1,1,0,0,2,43,FALSE
1,1,110,87,2,137,FALSE
1,3,271,254,2,39,FALSE
2,4,583,484,2,43,FALSE
1,1,4,4,2,2,FALSE
2,2,27,1,2,23,FALSE
1,2,5,2,2,40,FALSE
3,4,64,18,2,214,TRUE
1,1,16,16,2,11,FALSE
1,1,2,2,2,12,FALSE
2,4,3,3,2,26,FALSE
1,2,0,0,2,3,FALSE
1,1,15,0,1,1,FALSE
3,3,54,4,2,257,FALSE
3,4,115,56,2,262,FALSE
4,4,202,126,2,293,FALSE
1,1,1,1,2,22,FALSE
3,3,5,5,2,209,FALSE
1,4,66,8,2,45,FALSE
1,1,7,2,2,15,FALSE
1,1,32,31,2,14,FALSE
1,1,12,0,1,0,FALSE
2,2,6,6,2,115,FALSE
1,2,19,3,2,33,FALSE
3,4,268,5,2,231,FALSE
4,5,217,2,2,362,FALSE
6,10,133,315,2,101,FALSE
3,3,274,2,2,226,FALSE
3,3,1259,1198,2,224,FALSE
1,1,38,37,2,22,TRUE
2,2,5,5,2,166,FALSE
4,5,5,17,2,105,FALSE
1,1,33,13,2,45,FALSE
6,11,43,18,2,56,FALSE
1,2,9,7,2,25,FALSE
6,8,99,91,2,120,FALSE
6,9,128,133,2,150,TRUE
1,2,5,2,2,130,FALSE
1,1,6,3,2,108,FALSE
2,2,5,5,2,163,FALSE
1,1,0,0,2,39,FALSE
4,4,107,9,2,56,FALSE
3,3,17,2,2,223,FALSE
3,3,150,42,2,220,FALSE
1,1,1,1,2,5,FALSE
1,1,43,6,2,23,FALSE
3,3,5,5,2,199,FALSE
3,5,137,141,2,176,FALSE
2,2,21,38,2,152,FALSE
3,3,35,26,2,285,FALSE
1,1,12,11,2,19,FALSE
5,8,324,299,2,454,TRUE
1,1,5,1,2,19,TRUE
6,7,144,130,2,428,FALSE
3,3,5,5,2,194,FALSE
6,9,375,384,2,448,TRUE
2,3,23,6,2,160,FALSE
2,3,292,219,2,157,FALSE
1,1,57,25,2,13,FALSE
2,3,93,89,2,156,FALSE
1,1,156,0,1,0,FALSE
1,2,0,0,2,2,FALSE
4,5,7,4,2,21,FALSE
3,3,6,6,2,190,FALSE
3,3,30,2,2,217,FALSE
3,9,304,218,2,233,FALSE
3,4,47,21,2,214,FALSE
2,2,1192,1186,2,103,FALSE
6,6,1291,1178,2,358,FALSE
1,1,1,17,2,22,FALSE
2,2,24,36,2,37,FALSE
