nd,nf,la,ld,ndev,nuc,contains_bug
1,1,1,1,1,0,FALSE
1,1,43,0,7,31,FALSE
1,1,2,2,11,272,FALSE
1,1,29,1,11,24,FALSE
1,1,2,2,11,271,FALSE
2,3,36,79,11,372,FALSE
29,29,31,28,11,694,FALSE
25,25,1975,400,11,417,FALSE
1,1,256,0,1,0,FALSE
1,1,1,1,11,123,FALSE
1,1,0,48,11,270,FALSE
1,1,1,0,11,280,FALSE
2,3,79,0,11,269,FALSE
1,1,1,1,11,43,FALSE
1,2,2,0,1,0,FALSE
1,1,1,0,9,10,FALSE
1,1,2,2,11,268,FALSE
1,1,2,0,11,105,FALSE
1,2,12,4,11,362,FALSE
1,1,8,5,11,65,FALSE
1,1,2,1,11,104,FALSE
1,1,1,1,11,24,FALSE
1,1,10,2,11,27,FALSE
1,1,2,2,11,267,FALSE
1,1,1,4,1,8,FALSE
1,1,65,0,7,30,FALSE
1,1,5,4,11,4,FALSE
1,1,3,4,11,23,FALSE
1,1,2,2,11,266,FALSE
6,6,89,12,11,682,FALSE
1,1,0,8,11,17,FALSE
1,1,0,6,11,4,FALSE
38,40,17,718,11,428,FALSE
1,1,0,20,11,49,FALSE
2,3,18,135,11,16,FALSE
1,2,3,10,1,13,FALSE
1,1,8,11,11,322,FALSE
1,1,25,28,11,119,FALSE
2,2,2,0,11,464,FALSE
4,6,73,6,11,191,FALSE
1,2,0,0,1,0,FALSE
1,1,1,1,11,116,FALSE
1,2,5,1,11,73,FALSE
1,1,20,7,11,320,FALSE
11,21,7,1,11,125,FALSE
1,1,6,2,11,264,FALSE
1,1,2,6,11,116,FALSE
2,2,87,62,11,121,FALSE
1,1,29,26,11,115,FALSE
1,1,0,5,11,36,FALSE
3,3,0,1,11,25,FALSE
1,2,5,6,11,48,FALSE
1,1,1,1,11,4,FALSE
1,1,29,1,11,114,FALSE
1,1,1,1,11,44,FALSE
1,1,4,9,11,319,FALSE
1,1,2,4,11,103,FALSE
1,1,2,1,11,276,TRUE
1,1,5,2,11,8,FALSE
1,1,1,1,11,263,FALSE
1,1,19,0,1,4,FALSE
1,1,13,3,1,3,FALSE
1,1,1,1,1,6,FALSE
1,1,1,1,7,29,FALSE
1,1,3,0,7,28,FALSE
1,1,2,2,11,261,FALSE
1,1,0,2,11,198,FALSE
1,1,21,0,7,27,FALSE
1,1,2,2,11,260,FALSE
1,1,20,27,11,317,FALSE
1,1,3,1,11,274,FALSE
1,1,0,1,11,2,FALSE
