nd,nf,la,ld,ndev,nuc,contains_bug
60,80,3325,1702,1,0,FALSE
13,21,265,101,1,0,FALSE
6,7,6,36,1,0,FALSE
52,126,7466,512,1,0,FALSE
2,2,2,2,1,0,FALSE
2,2,126,13,1,0,FALSE
54,60,850,492,1,0,FALSE
1,1,31,0,1,1,FALSE
1,1,10,114,1,0,FALSE
73,98,654,617,1,0,FALSE
4,5,69,8,1,0,FALSE
64,124,1630,636,1,0,FALSE
4,5,8,5,1,0,FALSE
50,172,5170,177,1,0,FALSE
53,68,647,324,1,0,FALSE
2,2,2,2,17,14,FALSE
1,1,1,1,15,1,FALSE
13,31,794,289,17,126,FALSE
2,3,52,12,16,13,FALSE
47,58,298,130,16,124,FALSE
1,1,3,3,16,4,FALSE
1,2,6,16,16,9,FALSE
20,55,1613,1000,16,165,FALSE
35,91,3922,519,16,194,FALSE
2,3,6,6,16,29,FALSE
1,1,1,1,16,21,FALSE
6,10,26,8,16,37,FALSE
1,1,0,1,16,19,FALSE
63,111,1307,121,16,122,FALSE
2,2,4,4,16,4,FALSE
2,2,8,9,16,2,FALSE
1,1,8,3,16,22,FALSE
1,1,1,1,16,1,FALSE
1,3,48,17,16,4,FALSE
2,3,3,45,16,3,FALSE
183,840,54841,54767,,,FALSE
1,1,0,2,16,1,FALSE
1,1,12,12,16,6,FALSE
1,1,6,7,16,4,FALSE
3,3,10,18,16,15,TRUE
1,1,17,19,16,2,FALSE
1,1,0,1,14,6,FALSE
3,3,109,55,16,11,TRUE
1,1,266,0,1,0,TRUE
1,1,12,12,15,3,FALSE
2,2,6,5,15,16,FALSE
1,1,4,1,15,8,FALSE
1,1,2,0,15,3,FALSE
1,1,2,0,15,2,FALSE
8,10,56,26,15,87,FALSE
1,1,3,4,15,5,FALSE
2,2,12,74,15,8,TRUE
3,4,68,28,15,27,FALSE
1,1,53,10,15,2,TRUE
17,30,482,272,15,218,FALSE
1,1,1,0,15,10,FALSE
1,1,1,3,15,9,FALSE
1,1,12,0,14,1,FALSE
17,49,1134,66,15,124,TRUE
1,1,1,1,15,3,FALSE
1,1,4,11,15,7,FALSE
1,1,6,1,15,6,FALSE
13,29,860,605,15,240,FALSE
43,119,9079,8862,15,396,FALSE
1,1,2,0,15,5,FALSE
2,2,20,22,15,6,FALSE
72,143,4361,368,15,368,TRUE
1,2,5,1,14,3,FALSE
2,2,3,3,14,2,FALSE
4,4,20,27,15,40,FALSE
2,2,16,15,15,5,FALSE
3,3,5,4,15,36,FALSE
1,1,1,1,14,12,FALSE
1,1,2,1,14,11,FALSE
25,61,1664,627,15,368,TRUE
1,1,1,1,14,1,FALSE
1,1,2,1,14,1,FALSE
87,171,3240,2897,14,430,FALSE
159,747,49947,46301,,,TRUE
3,3,144,105,14,35,FALSE
5,11,191,214,14,366,FALSE
1,1,1,1,14,2,FALSE
7,9,103,30,14,193,FALSE
1,1,1,1,14,12,FALSE
1,1,1,1,14,7,FALSE
3,4,7,7,14,25,FALSE
1,1,1,1,14,6,FALSE
1,1,1,1,14,26,FALSE
1,1,1,1,14,10,FALSE
39,138,256,82,14,250,FALSE
1,1,2,0,14,16,FALSE
1,1,5,0,14,15,FALSE
1,1,0,2,14,9,FALSE
3,9,281,49,14,64,TRUE
17,24,106,59,14,365,FALSE
2,2,12,11,14,33,FALSE
2,2,6,0,14,31,TRUE
1,1,4,0,14,8,FALSE
1,1,7,5,14,4,FALSE
1,1,2,2,14,3,TRUE
3,3,15,8,14,23,TRUE
2,2,2,2,14,29,FALSE
7,8,166,28,14,62,TRUE
12,59,4181,178,14,279,FALSE
3,5,46,18,14,40,FALSE
3,3,5,5,14,30,FALSE
4,8,338,148,14,42,TRUE
1,1,33,15,14,1,FALSE
27,91,1289,922,14,827,FALSE
33,76,270,2234,13,457,TRUE
8,18,221,99,13,226,FALSE
19,20,109,77,13,90,FALSE
39,104,2317,1399,13,595,TRUE
6,15,603,149,12,145,TRUE
27,58,1841,1031,12,430,TRUE
24,47,1084,126,12,295,FALSE
1,2,12,7,12,32,TRUE
18,25,926,187,12,271,FALSE
68,276,11964,9561,12,1163,TRUE
12,21,87,13,12,37,FALSE
74,258,1119,444,12,1293,FALSE
1,1,1,1,12,6,FALSE
1,2,0,0,11,2,FALSE
2,3,43,4,12,117,FALSE
2,3,9,14,12,102,FALSE
5,6,78,76,12,34,FALSE
1,1,26,16,12,28,FALSE
1,1,2,2,12,26,FALSE
1,2,22,20,12,43,TRUE
9,40,146,43,12,403,FALSE
2,3,34,17,12,163,FALSE
3,10,1681,736,12,301,FALSE
1,1,1,1,12,6,FALSE
1,1,9,0,12,25,FALSE
1,2,4,1,12,69,TRUE
3,3,40,4,12,11,FALSE
17,27,604,609,12,323,FALSE
1,1,11,6,12,12,FALSE
10,13,80,201,12,213,TRUE
4,7,38,14,12,30,FALSE
2,2,60,21,12,70,FALSE
4,8,93,38,12,220,FALSE
3,5,248,99,12,22,FALSE
6,9,347,433,12,161,TRUE
2,2,2,2,12,66,TRUE
6,23,128,92,12,172,FALSE
3,8,267,39,12,124,FALSE
3,4,95,1,12,20,TRUE
2,2,33,14,12,13,TRUE
1,1,14,2,12,91,FALSE
1,2,5,5,12,60,FALSE
1,2,50,28,12,65,TRUE
3,17,708,221,12,305,FALSE
1,1,24,5,12,4,FALSE
1,1,2,1,12,14,FALSE
11,19,509,116,12,267,TRUE
1,1,2,1,12,9,FALSE
3,5,119,71,12,26,FALSE
2,3,21,13,12,18,FALSE
2,2,54,20,12,66,FALSE
1,1,27,14,12,3,FALSE
12,19,129,162,12,125,FALSE
9,24,1448,1009,12,348,TRUE
2,4,222,133,12,74,TRUE
4,10,155,60,12,18,FALSE
2,3,36,13,12,119,FALSE
1,1,1,2,12,5,FALSE
1,2,4,4,12,60,FALSE
1,1,1,1,12,2,FALSE
6,7,515,123,12,65,FALSE
1,1,5,1,12,16,FALSE
1,2,2,0,12,5,FALSE
1,2,1126,1126,12,2,FALSE
7,18,784,796,12,142,TRUE
1,1,6,2,12,2,FALSE
3,5,386,217,12,102,TRUE
1,1,2,1,12,2,FALSE
1,1,1,81,12,4,FALSE
2,3,75,7,12,5,TRUE
1,1,22,24,12,24,FALSE
1,1,2,2,12,9,FALSE
1,2,55,0,12,2,TRUE
1,1,1,1,11,4,FALSE
2,3,18,5,12,149,FALSE
2,3,18,5,12,152,FALSE
1,1,22,4,12,7,FALSE
48,153,2454,24,12,376,FALSE
1,1,11,18,12,85,FALSE
2,2,3,9,12,25,FALSE
1,1,1,1,12,3,FALSE
1,1,41,33,12,13,FALSE
1,4,31,28,12,35,TRUE
7,8,30,26,12,66,FALSE
25,146,12790,12486,12,942,TRUE
2,2,37,39,12,18,FALSE
1,2,12,6,12,34,FALSE
7,11,1060,1060,12,121,FALSE
1,1,22,0,12,18,FALSE
1,2,32,11,12,3,TRUE
2,4,82,47,12,122,TRUE
10,18,522,771,12,118,TRUE
1,1,3,2,12,9,FALSE
7,18,622,309,12,176,TRUE
1,1,3,1,8,3,FALSE
19,35,445,467,12,66,FALSE
2,4,69,31,12,15,TRUE
2,4,127,54,12,27,FALSE
4,11,348,122,12,14,FALSE
14,14,13,1,12,36,FALSE
2,6,53,20,12,140,FALSE
1,1,2,2,11,3,FALSE
2,5,538,538,12,13,FALSE
1,4,115,38,12,44,TRUE
1,1,9,1,12,7,FALSE
3,10,442,265,12,195,TRUE
2,11,558,483,12,74,TRUE
