nd,nf,la,ld,ndev,nuc,contains_bug
2,2,4,2,1,0,FALSE
1,1,25,0,1,1,FALSE
1,1,5,1,1,0,FALSE
9,16,31,41,1,0,FALSE
12,19,2,238,1,7,FALSE
6,6,0,40,1,1,FALSE
1,1,1,1,2,2,FALSE
1,1,1,0,2,1,FALSE
4,4,27,45,2,6,FALSE
2,2,2,0,2,2,FALSE
3,3,92,36,3,3,TRUE
1,2,0,1457,1,0,FALSE
1,1,6,3,1,0,FALSE
5,5,51,2,2,2,FALSE
1,1,4,3,2,3,TRUE
1,1,2,1,1,1,FALSE
1,1,5,0,1,0,FALSE
2,2,10,3,2,2,TRUE
90,90,542,6354,1,0,FALSE
29,60,311,320,1,0,FALSE
1,1,1,4,1,1,FALSE
2,2,8,7,1,0,TRUE
1,1,0,58,1,0,FALSE
1,1,0,1,1,2,FALSE
1,1,1,1,1,0,FALSE
1,1,1,1,1,1,FALSE
2,2,2,2,1,0,FALSE
1,1,1,1,20,3,FALSE
1,2,0,0,20,1,FALSE
1,1,8,3,20,44,FALSE
2,2,18,5,20,48,FALSE
2,2,6,0,20,17,FALSE
3,4,55,3,20,24,FALSE
3,3,16,12,20,50,FALSE
1,1,3,19,20,14,FALSE
1,1,0,1,20,5,FALSE
3,3,5,4,20,24,FALSE
4,5,43,8,20,33,TRUE
1,1,3,0,20,3,FALSE
1,1,3,0,20,2,FALSE
1,1,1,1,20,7,FALSE
1,1,1,1,20,4,FALSE
3,3,64,12,20,14,TRUE
3,3,64,12,20,20,TRUE
7,8,55,20,20,38,FALSE
1,1,1,1,20,4,FALSE
1,1,1,1,20,3,FALSE
1,1,7,5,20,41,FALSE
2,3,12,12,20,41,FALSE
1,1,2,0,1,1,FALSE
1,1,30,0,1,0,FALSE
1,1,0,1,20,3,FALSE
1,1,2,0,20,42,FALSE
1,1,1,1,20,41,FALSE
1,1,0,1,20,40,FALSE
1,1,2,4,20,39,FALSE
1,1,9,0,20,6,FALSE
2,5,32,1,20,14,FALSE
1,1,2,5,20,38,FALSE
1,1,1,0,20,37,FALSE
1,1,1,3,20,36,FALSE
1,1,0,4,20,35,FALSE
1,1,1,1,20,34,FALSE
1,1,1,0,20,33,FALSE
1,1,1,1,20,32,FALSE
1,1,2,0,20,31,FALSE
1,1,9,8,20,30,FALSE
1,1,1,0,20,29,FALSE
1,1,2,0,20,28,FALSE
1,1,5,15,20,27,FALSE
1,1,2,1,20,26,FALSE
1,1,0,3,20,25,FALSE
1,1,3,4,20,24,FALSE
1,1,3,5,20,39,FALSE
1,1,100,79,20,38,FALSE
1,1,22,6,20,1,FALSE
1,1,1,3,20,23,FALSE
1,1,1,3,20,22,FALSE
1,1,2,0,20,21,FALSE
1,1,1,4,20,20,FALSE
1,1,3,0,20,19,FALSE
1,1,2,2,20,37,FALSE
1,1,1,1,20,18,FALSE
1,1,3,0,20,17,FALSE
2,3,30,1,20,52,FALSE
1,1,1,1,20,5,FALSE
1,1,7,4,20,8,FALSE
1,2,5,2,20,8,FALSE
4,7,38,34,20,46,FALSE
3,3,3,4,20,5,FALSE
2,2,32,1,20,2,FALSE
4,5,35,24,20,15,TRUE
10,12,124,116,20,33,TRUE
13,15,302,219,20,67,TRUE
3,11,714,717,20,17,FALSE
2,2,41,82,20,4,FALSE
4,5,238,115,20,11,FALSE
4,5,157,8,20,4,FALSE
1,1,10,0,20,33,FALSE
9,13,212,64,20,46,FALSE
4,5,131,35,20,11,FALSE
10,13,471,21,20,46,FALSE
3,3,24,20,20,4,FALSE
3,5,211,27,20,9,FALSE
25,27,94,55,20,44,FALSE
6,6,46,11,20,32,FALSE
3,3,9,2,20,31,FALSE
3,6,26,21,20,6,FALSE
1,1,6,0,20,27,FALSE
2,2,2,2,20,102,FALSE
1,1,8,4,20,25,FALSE
1,1,5,0,20,24,FALSE
20,28,226,159,20,37,FALSE
1,1,1,0,20,1,FALSE
1,1,0,54,20,1,FALSE
1,1,12,1,20,22,FALSE
4,4,140,0,20,21,FALSE
1,1,13,11,20,2,FALSE
2,2,172,23,20,20,TRUE
3,3,24,9,20,5,FALSE
7,23,473,531,20,29,FALSE
1,1,1,1,20,19,FALSE
1,1,10,10,20,15,FALSE
1,1,14,0,20,14,FALSE
